iter	likelihood	#indels	#substs	rs07:mean_length	rs07:rate	P1/#indels	P1/#substs	P1/likelihood	P1/prior_A	P1/|A|	P1/|indels|	tn93:kappaPur	tn93:kappaPyr	tn93:pi[A]	tn93:pi[C]	tn93:pi[G]	tn93:pi[U]	scale	scale*|T|	|A|	|T|	|indels|	posterior	prior
67	-2811.8549406712664	62	709	2.122570353647375	0.032908421450681964	62	709	-2811.8549406712664	-444.35788406250333	162	119	1.2928799024754225	2.263169698033674	0.23659981857778542	0.25273514826394994	0.2772487707669301	0.23341626239133456	4.6186388728323315	7.547915584783719	162	1.634229432654266	119	-3232.6734795434186	-420.8185388721523
68	-2835.6271822660647	61	720	1.660864957576573	0.0363738917506873	61	720	-2835.6271822660647	-431.0885680296872	159	110	1.1806202057564341	2.355342171461586	0.25100014808010535	0.24625472086496297	0.2729489206104324	0.22979621044449933	8.445029077283044	7.550249940112016	159	0.8940466481544788	110	-3217.403582124139	-381.77639985807457
69	-2859.2139870229253	56	734	1.6449570942139107	0.02899544678017534	56	734	-2859.2139870229253	-402.35153038652203	156	99	1.2306857732227174	2.520946303268299	0.2591115465320968	0.24501833889242794	0.26722765213203964	0.22864246244343567	6.39349961470447	8.033431672775995	156	1.2564999072338772	99	-3225.61001898117	-366.39603195824463
70	-2850.716956246005	64	726	1.6982335737440912	0.02942844967215422	64	726	-2850.716956246005	-444.7911208215796	160	108	1.885017403464775	2.5408851620016266	0.2234793062407289	0.2568022346817892	0.28007968116380183	0.23963877791368005	5.710786443711311	8.064810673584416	160	1.4122066641916446	108	-3267.6522964838277	-416.93534023782297
71	-2842.4412638181193	59	714	1.7557537231736549	0.0262470052617231	59	714	-2842.4412638181193	-426.5405077342093	162	105	1.8343903609053536	2.4840417349181205	0.2315003707631059	0.26644140549294093	0.2905925798962296	0.2114656438477237	5.261543016879448	7.8744288836311975	162	1.4966006850783895	105	-3244.8120792996983	-402.37081548157914
72	-2826.0995860947833	59	722	1.9642691096925398	0.026122513473733466	59	722	-2826.0995860947833	-431.5827069471026	159	105	1.3744045318910945	2.6241003660897744	0.2266869981388509	0.26090153632149965	0.2845505577419089	0.22786090779774062	5.390399672326557	7.741028563523163	159	1.4360769208384225	105	-3230.4746210072967	-404.3750349125133
73	-2806.3006105064283	69	699	1.7147566368275409	0.03251322738256602	69	699	-2806.3006105064283	-482.03087715696023	166	118	1.489274878944666	2.4873780742527685	0.2275590034035985	0.261905155916452	0.2836280271744271	0.2269078135055223	7.495080301434588	7.761564462542697	166	1.035554543832853	118	-3246.6880234264563	-440.3874129200278
74	-2824.9615500999857	63	711	1.680119092816565	0.03603623250895488	63	711	-2824.9615500999857	-447.93548230681216	164	108	1.5134180742080399	2.3205067436073863	0.2275590034035985	0.261905155916452	0.2836280271744271	0.2269078135055223	6.214041740927513	7.50534499861955	164	1.207804084930285	108	-3241.2716522457895	-416.3101021458037
75	-2807.149491399199	66	708	1.7238273910542943	0.037655121853629285	66	708	-2807.149491399199	-477.0842965822046	168	117	1.4273775202785457	2.0736555172127047	0.24882198097896463	0.24484566925099713	0.26515359687693835	0.2411787528931	6.050906165492073	7.47601512121251	168	1.2355199232550889	117	-3256.393979116407	-449.2444877172081
76	-2808.6463019448606	61	712	1.8058821561363738	0.03414430430941585	61	712	-2808.6463019448606	-443.24869520590255	161	104	1.1308379700808169	2.2493864159434405	0.2617999187152717	0.22456003811535663	0.2689804532699519	0.24465958989941966	5.459413564180092	7.271664150337971	161	1.3319496800990287	104	-3228.7495753962326	-420.10327345137176
77	-2810.5109454498147	68	711	1.7423425578054048	0.0369202163909637	68	711	-2810.5109454498147	-476.5084606675467	164	112	1.2210201720568292	2.3188156747387896	0.25719975238878534	0.24743384013646227	0.2594110069672464	0.23595540050750596	8.083398229211493	7.898572598785554	164	0.9771351571226539	112	-3244.5490556576897	-434.03811020787515
78	-2787.5906644035385	66	699	1.9429952940815438	0.03629611275091558	66	699	-2787.5906644035385	-470.7085505988407	164	113	1.2391669612573941	2.211197236372775	0.24263285574000854	0.2695779411533481	0.2554430144157371	0.23234618869090637	7.8307403118442664	7.514870213128755	164	0.9596628050303562	113	-3215.8407131788845	-428.2500487753458
79	-2808.6249469238037	63	703	2.0661085255430347	0.031246095590321044	63	703	-2808.6249469238037	-461.4944058551182	167	119	1.2938354171740196	2.415950565038765	0.24487553575105503	0.2720696773124918	0.2578041000182801	0.225250686918173	6.7174125460492675	7.834532749414161	167	1.1663021581162094	119	-3235.698920992571	-427.0739740687672
80	-2813.8546280089113	59	708	1.8549811937466245	0.03415452837688998	59	708	-2813.8546280089113	-441.2555343859614	165	112	1.5312180514613658	2.251210786075891	0.24487553575105503	0.2720696773124918	0.2578041000182801	0.225250686918173	6.4104264988217805	7.802188613879965	165	1.2171091292153473	112	-3225.8877382899	-412.0331102809889
81	-2818.093167544325	66	717	1.7534284169041234	0.034702563073371225	66	717	-2818.093167544325	-468.9517422669145	165	120	1.2611005379491194	2.3701458022232336	0.24299675076350036	0.26998224777921576	0.2634985296820415	0.22352247177524232	8.438483919888517	7.8935852120095	165	0.9354269424398908	120	-3243.5917581021545	-425.4985905578296
